iter	Passed	Remaining
405	8986	2080
406	9008	2058
407	9030	2036
408	9053	2014
409	9073	1991
410	9097	1969
411	9117	1947
412	9140	1925
413	9162	1903
414	9183	1880
415	9203	1858
416	9224	1836
417	9248	1814
418	9270	1792
419	9292	1769
420	9313	1747
421	9337	1725
422	9358	1703
423	9380	1681
424	9402	1659
425	9425	1637
426	9446	1614
427	9467	1592
428	9489	1570
429	9512	1548
430	9533	1526
431	9555	1504
432	9576	1481
433	9599	1459
434	9621	1437
435	9642	1415
436	9662	1392
437	9681	1370
438	9701	1348
439	9723	1325
440	9743	1303
441	9763	1281
442	9784	1258
443	9805	1236
444	9826	1214
445	9850	1192
446	9871	1170
447	9893	1148
448	9916	1126
449	9936	1104
450	9956	1081
451	9978	1059
452	9998	1037
453	10020	1015
454	10041	993
455	10062	970
456	10083	948
457	10105	926
458	10126	904
459	10146	882
460	10168	860
461	10188	838
462	10209	815
463	10232	793
464	10253	771
465	10274	749
466	10298	727
467	10320	705
468	10341	683
469	10364	661
470	10386	639
471	10409	617
472	10431	595
473	10453	573
474	10474	551
475	10496	529
476	10518	507
477	10538	485
478	10559	462
479	10579	440
480	10605	418
481	10626	396
482	10647	374
483	10668	352
484	10689	330
485	10710	308
486	10731	286
487	10751	264
488	10772	242
489	10798	220
490	10820	198
491	10841	176
492	10862	154
493	10886	132
494	10906	110
495	10925	88
496	10945	66
497	10967	44
498	10991	22
499	11012	0
